index,s,x_centroidal,y_centroidal,q_s
274,0.17180298,-0.0825758612,0.0039254841,-12834.3412
275,0.172470719,-0.0831563979,0.0035955555,-12850.5127
276,0.173140449,-0.0837350128,0.0032582969,-12865.7702
277,0.173812376,-0.0843115788,0.0029132509,-12880.0899
278,0.174486738,-0.0848859533,0.0025598991,-12893.4454
279,0.175163814,-0.0854579744,0.0021976499,-12905.8086
280,0.175843936,-0.0860274571,0.0018258234,-12917.1484
281,0.176527497,-0.0865941888,0.0014436315,-12927.4304
282,0.177214971,-0.0871579222,0.0010501522,-12936.6165
283,0.177906938,-0.0877183668,0.0006442952,-12944.6635
284,0.178604112,-0.0882751772,0.0002247558,-12951.5221
285,0.179307389,-0.0888279371,-0.0002100492,-12957.1353
286,0.180017915,-0.089376136,-0.0006620731,-12961.4357
287,0.180737185,-0.0899191361,-0.0011337724,-12964.3418
288,0.181467199,-0.0904561211,-0.0016283101,-12965.753
289,0.182210718,-0.0909860165,-0.0021498767,-12965.5404
290,0.182971705,-0.0915073548,-0.0027042295,-12963.5321
291,0.183756136,-0.0920180362,-0.0032996596,-12959.4859
292,0.184573656,-0.0925148563,-0.00394889569,-12953.0358
293,0.185441391,-0.0929924527,-0.00467337199,-12943.568
294,0.186394725,-0.0934404309,-0.00551489598,-12929.8751
295,0.187530921,-0.0938321204,-0.00658144112,-12908.7617
296,0.189960486,-0.0938893051,-0.00901033328,-12844.7161
297,0.369996553,0.08600791,-0.0160798096,-2830.41882
298,0.370273397,0.08600791,-0.0158029653,-2808.58891
299,0.370550242,0.08600791,-0.015526121,-2787.10098
300,0.370827086,0.08600791,-0.0152492767,-2765.95505
301,0.37110393,0.08600791,-0.0149724324,-2745.1511
302,0.371380774,0.08600791,-0.0146955881,-2724.68915
303,0.371657619,0.08600791,-0.0144187438,-2704.56918
304,0.371934463,0.08600791,-0.0141418995,-2684.7912
305,0.372211307,0.08600791,-0.0138650552,-2665.35521
306,0.372488152,0.08600791,-0.0135882109,-2646.26121
307,0.372764996,0.08600791,-0.0133113666,-2627.5092
308,0.37304184,0.08600791,-0.0130345223,-2609.09918
309,0.373318685,0.08600791,-0.012757678,-2591.03114
310,0.373595529,0.08600791,-0.0124808337,-2573.3051
311,0.373872373,0.08600791,-0.0122039894,-2555.92104
312,0.374149217,0.08600791,-0.0119271451,-2538.87897
313,0.374426062,0.08600791,-0.0116503008,-2522.17889
314,0.374702906,0.08600791,-0.0113734565,-2505.8208
315,0.37497975,0.08600791,-0.0110966122,-2489.8047
316,0.375256595,0.08600791,-0.0108197679,-2474.13059
317,0.375533439,0.08600791,-0.0105429236,-2458.79847
318,0.375810283,0.08600791,-0.0102660793,-2443.80834
319,0.376087128,0.08600791,-0.00998923503,-2429.16019
320,0.376363972,0.08600791,-0.00971239074,-2414.85404
321,0.376640816,0.08600791,-0.00943554644,-2400.88987
322,0.37691766,0.08600791,-0.00915870214,-2387.26769
323,0.377194505,0.08600791,-0.00888185784,-2373.9875
324,0.377471349,0.08600791,-0.00860501354,-2361.0493
325,0.377748193,0.08600791,-0.00832816924,-2348.45309
326,0.378025038,0.08600791,-0.00805132495,-2336.19887
327,0.378301882,0.08600791,-0.00777448065,-2324.28663
328,0.378578726,0.08600791,-0.00749763635,-2312.71639
329,0.378855571,0.08600791,-0.00722079205,-2301.48813
330,0.379132415,0.08600791,-0.00694394775,-2290.60187
331,0.379409259,0.08600791,-0.00666710345,-2280.05759
